,spec100,spec250,spec500,spec1000,spec2000,spec3000
a,0.029213776437646888,0.0004668282610647001,-0.0028409090909090606,0.0,0.0,0.0
aa,-0.00033772374197906115,-0.0008438818565400844,-0.0016863406408094434,-0.0033783783783783786,-0.006756756756756757,-0.01
aaron,-0.00033772374197906115,-0.0008438818565400844,-0.0016863406408094434,-0.0033783783783783786,-0.006756756756756757,-0.01
aback,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
abandon,0.0026331687771036756,0.00655355058802406,0.013141001073125862,0.02718416090509114,0.04038870331005162,0.0806896551724138
abandoned,-0.0021824219501595113,-0.004650327677529402,-0.009844971638816497,-0.017677561282212442,-0.03849073792894017,-0.059310344827586195
abandoning,0.0004628564431904264,0.0011491157195439449,0.002309136900199295,0.004871150219987429,0.008958396598846036,0.014482758620689654
abandonment,-0.0010131712259371835,-0.002531645569620253,-0.00505902192242833,-0.010135135135135136,-0.02027027027027027,-0.03
abaout,-0.0060790273556231,-0.01350210970464135,-0.021922428330522766,-0.037162162162162164,-0.05405405405405406,-0.08
abased,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
abasement,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
abate,-0.0006754474839581223,-0.0016877637130801688,-0.003372681281618887,-0.006756756756756757,-0.013513513513513514,-0.02
abated,-0.0011194667463210312,-0.0028009695663883645,-0.005590794113138126,-0.0110779384035198,-0.02254782872760401,-0.032758620689655175
abatement,-0.0006754474839581223,-0.0016877637130801688,-0.003372681281618887,-0.006756756756756757,-0.013513513513513514,-0.02
abbey,0.0002314282215952132,0.0005745578597719724,0.0011545684500996476,0.0024355751099937144,0.004479198299423018,0.007241379310344827
abbeys,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
abbott,-0.00033772374197906115,-0.0008438818565400844,-0.0016863406408094434,-0.0033783783783783786,-0.006756756756756757,-0.01
abbreviation,0.0011383039271485487,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
abdomen,0.0002314282215952132,0.0005745578597719724,0.0011545684500996476,0.0024355751099937144,0.004479198299423018,0.007241379310344827
abdool,-0.00033772374197906115,-0.0008438818565400844,-0.0016863406408094434,-0.0033783783783783786,-0.006756756756756757,-0.01
abdul,-0.002701789935832489,-0.006751054852320675,-0.013490725126475547,-0.02702702702702703,-0.05405405405405406,-0.08
abernethy,0.0011383039271485487,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
aberrancy,-0.00033772374197906115,-0.0008438818565400844,-0.0016863406408094434,-0.0033783783783783786,-0.006756756756756757,-0.01
aberrant,-0.0006754474839581223,-0.0016877637130801688,-0.003372681281618887,-0.006756756756756757,-0.013513513513513514,-0.02
aberration,-0.00010629552038384795,-0.000269323996768112,-0.0005317721907097958,-0.0009428032683846642,-0.0022775584573337393,-0.002758620689655173
abetted,-0.0010131712259371835,-0.002531645569620253,-0.00505902192242833,-0.010135135135135136,-0.02027027027027027,-0.03
